image_path,human_label,allowed_clip_labels,optional_text_boxes,optional_object_boxes,source,notes
raw/train2014/COCO_train2014_000000001875.jpg,backpack,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,"[[352, 128, 395, 150], [399, 138, 463, 152]]","[[40, 154, 195, 398], [221, 173, 473, 283], [225, 437, 347, 615]]",coco_text_cic,coco_text_set=val; dominant_area_frac=0.1249; n_text_boxes=2; caption=A man with a suitcase stands near a street.
raw/train2014/COCO_train2014_000000002374.jpg,pizza,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,"[[423, 417, 576, 438]]","[[20, 19, 615, 426], [161, 233, 400, 440]]",coco_text_cic,coco_text_set=val; dominant_area_frac=0.7883; n_text_boxes=1; caption=An ad for a pizza restaurant in front of a pizza.
raw/train2014/COCO_train2014_000000004719.jpg,bottle,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,"[[235, 29, 256, 90]]","[[96, 1, 172, 140], [265, 133, 372, 223]]",coco_text_cic,"coco_text_set=val; dominant_area_frac=0.0563; n_text_boxes=1; caption=On this table there is a plate of hot dogs and chips, and some drinks."
raw/train2014/COCO_train2014_000000004741.jpg,horse,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,"[[140, 150, 222, 230], [140, 346, 184, 372], [86, 225, 143, 280], [97, 351, 138, 376]]","[[285, 438, 470, 618]]",coco_text_cic,coco_text_set=val; dominant_area_frac=0.0813; n_text_boxes=4; caption=Some people are going out to have a good time.
raw/train2014/COCO_train2014_000000005113.jpg,laptop,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,"[[105, 427, 195, 446], [452, 561, 480, 605], [63, 427, 98, 445]]","[[99, 36, 449, 429]]",coco_text_cic,coco_text_set=val; dominant_area_frac=0.4496; n_text_boxes=3; caption=An advertisement in a magazine of someone trying to cut the power cord on a net-book.
raw/train2014/COCO_train2014_000000005641.jpg,cell phone,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,"[[75, 430, 116, 482], [218, 348, 241, 386], [68, 340, 216, 397], [72, 381, 237, 438]]","[[296, 311, 421, 454]]",coco_text_cic,coco_text_set=val; dominant_area_frac=0.0582; n_text_boxes=4; caption=A couple of men looking at a tablet pc.
raw/train2014/COCO_train2014_000000005688.jpg,umbrella,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,"[[0, 67, 84, 123]]","[[3, 173, 317, 447], [1, 3, 233, 131], [440, 206, 576, 383]]",coco_text_cic,coco_text_set=val; dominant_area_frac=0.2801; n_text_boxes=1; caption=People laying in the sun on the beach on a sunny day
raw/train2014/COCO_train2014_000000005883.jpg,truck,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,"[[325, 272, 346, 337], [334, 184, 387, 214], [111, 205, 128, 381], [78, 279, 97, 332], [269, 201, 295, 225], [255, 157, 326, 191], [302, 190, 340, 208], [80, 142, 167, 172], [70, -1, 119, 112]]","[[1, 433, 270, 608]]",coco_text_cic,coco_text_set=val; dominant_area_frac=0.1731; n_text_boxes=9; caption=A dump truck is traveling though a busy city intersection.
raw/train2014/COCO_train2014_000000009398.jpg,banana,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,"[[227, 284, 290, 426], [28, 441, 86, 461], [318, 340, 386, 450], [24, 220, 151, 277], [244, 243, 299, 347], [39, 67, 238, 111], [47, 0, 80, 29], [164, 241, 200, 265], [548, 156, 580, 282], [187, 390, 231, 409], [417, 350, 504, 454], [182, 218, 214, 238], [0, 212, 41, 235], [540, 380, 642, 416], [0, 82, 137, 152], [388, 351, 471, 458], [468, 368, 558, 468]]","[[256, 42, 465, 196], [492, 108, 640, 308], [401, 15, 617, 124], [30, 48, 267, 133], [0, 70, 177, 177], [84, 80, 222, 213]]",coco_text_cic,coco_text_set=val; dominant_area_frac=0.1048; n_text_boxes=17; caption=Books and bananas on a wooden counter top.
raw/train2014/COCO_train2014_000000010890.jpg,truck,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,"[[9, 382, 174, 415]]","[[52, 38, 626, 380]]",coco_text_cic,coco_text_set=val; dominant_area_frac=0.7234; n_text_boxes=1; caption=It is difficult to say what this truck is being used for.
