method,method_available,oracle_upper_bound,post_pred_label,strict_correct,alias_correct,target_prob_orig,target_prob_post,target_rank_orig,target_rank_post,distractor_prob_orig,distractor_prob_post,pairwise_margin_orig,pairwise_margin_post,target_prob_improved,target_prob_gain,target_rank_improved,distractor_prob_decreased,pairwise_recovered,recovers_top3,recovers_top5,example_id,human_label,original_strict_correct,original_alias_correct,high_confidence_failure,oracle_operator
original_clip_prediction,True,False,suitcase,False,False,0.05204456299543381,0.05204456299543381,3,3.0,0.4972953796386719,0.4972953796386719,-0.44525081664323807,-0.44525081664323807,False,0.0,False,False,False,True,True,0,backpack,False,False,False,
oracle_text_box_repair,True,True,suitcase,False,False,0.05204456299543381,0.059556279331445694,3,3.0,0.4972953796386719,0.7263845205307007,-0.44525081664323807,-0.666828241199255,False,0.007511716336011887,False,False,False,True,True,0,backpack,False,False,False,expanded_blur_1.25
oracle_best_global_op,True,True,suitcase,False,False,0.05204456299543381,0.05540373921394348,3,3.0,0.4972953796386719,0.7205135822296143,-0.44525081664323807,-0.6651098430156708,False,0.003359176218509674,False,False,False,True,True,0,backpack,False,False,False,
cic_top1_repair_excl_ocr,True,False,bus,False,False,0.05204456299543381,0.03650788217782974,3,3.0,0.4972953796386719,0.41606423258781433,-0.44525081664323807,-0.3795563504099846,False,-0.015536680817604065,False,True,False,True,True,0,backpack,False,False,False,
cic_top3_repair_excl_ocr,True,False,bus,False,False,0.05204456299543381,0.04250422120094299,3,3.0,0.4972953796386719,0.4456598261992137,-0.44525081664323807,-0.4031556049982707,False,-0.009540341794490814,False,True,False,True,True,0,backpack,False,False,False,
cic_top1_repair_incl_ocr,True,False,bus,False,False,0.05204456299543381,0.03650788217782974,3,3.0,0.4972953796386719,0.41606423258781433,-0.44525081664323807,-0.3795563504099846,False,-0.015536680817604065,False,True,False,True,True,0,backpack,False,False,False,
cic_top3_repair_incl_ocr,True,False,bus,False,False,0.05204456299543381,0.04250422120094299,3,3.0,0.4972953796386719,0.4456598261992137,-0.44525081664323807,-0.4031556049982707,False,-0.009540341794490814,False,True,False,True,True,0,backpack,False,False,False,
cic_top1_best_global_op_excl_ocr,True,False,suitcase,False,False,0.05204456299543381,0.031606242060661316,3,3.0,0.4972953796386719,0.5341224670410156,-0.44525081664323807,-0.5025162249803543,False,-0.02043832093477249,False,False,False,True,True,0,backpack,False,False,False,
matched_random_proposal_repair,True,False,suitcase,False,False,0.05204456299543381,0.05647306889295578,3,3.0,0.4972953796386719,0.7679147124290466,-0.44525081664323807,-0.7114416435360909,False,0.004428505897521973,False,False,False,True,True,0,backpack,False,False,False,
largest_region_repair,True,False,suitcase,False,False,0.05204456299543381,0.009683635085821152,3,3.0,0.4972953796386719,0.9018509387969971,-0.44525081664323807,-0.8921673037111759,False,-0.042360927909612656,False,False,False,True,True,0,backpack,False,False,False,
