example_id,rank,candidate_id,proposal_type,proposal_family,bbox,score,area_fraction,prediction_flip_indicator,js_divergence,overlaps_text_box,overlaps_object_box
0,1,textness_0007,textness_high_frequency,connected_component,"[5, 79, 22, 103]",0.7659221918786986,0.008131377551020409,1.0,0.004857280306330494,False,False
0,2,text_box_0005,text_box_component,high_contrast,"[185, 128, 224, 137]",0.7317239337324201,0.006995376275510204,1.0,0.0013671418007143907,False,False
0,3,text_box_0008,text_box_component,high_contrast,"[211, 15, 224, 25]",0.6882409870850901,0.002590880102040816,1.0,0.0009683868671772127,False,False
0,4,watermark_0006,corner_edge_watermark,edge_dense,"[0, 0, 103, 35]",0.6604174034486417,0.07184709821428571,1.0,0.022100230253467544,False,False
0,5,watermark_0000,corner_edge_watermark,edge_dense,"[0, 0, 76, 29]",0.6075220016847047,0.04392538265306122,1.0,0.008008336223758437,False,False
0,6,text_box_0004,text_box_component,high_contrast,"[16, 55, 61, 63]",0.46334596345885326,0.007174744897959184,1.0,0.0005637167945769226,False,False
0,7,text_box_0007,text_box_component,high_contrast,"[56, 41, 74, 51]",0.24391763489720128,0.003587372448979592,1.0,0.0017822169202517581,False,False
0,8,text_band_0006_10,horizontal_text_band,edge_dense,"[25, 50, 199, 72]",0.1688047692729094,0.07629145408163265,1.0,0.015338486906219289,False,True
0,9,watermark_0010,corner_edge_watermark,edge_dense,"[60, 0, 163, 35]",0.15272554350749742,0.07184709821428571,1.0,0.004802087500039271,False,False
0,10,grid_18_0043,grid_patch_18,grid_patch,"[184, 60, 224, 100]",0.11652860058387778,0.03188775510204082,0.0,0.05415561788439108,False,True
0,11,text_band_0004_08,horizontal_text_band,edge_dense,"[50, 51, 173, 68]",0.11322941630325886,0.041673309948979595,1.0,0.013963715689651802,False,False
0,12,watermark_0004,corner_edge_watermark,edge_dense,"[74, 0, 150, 29]",0.11252354737220001,0.04392538265306122,1.0,0.0010239809508372395,False,False
0,13,text_band_0005_08,horizontal_text_band,edge_dense,"[50, 52, 173, 69]",0.11248787391394664,0.041673309948979595,1.0,0.00803576888853345,False,True
